bf_id,uap_id,city,state_code,geohash_6,geohash_7_bf,geohash_7_uap,latitude_bf,longitude_bf,latitude_uap,longitude_uap,full_date_bf,full_date_uap,date_diff_days,year_bf,year_uap,distance_meters,proximity_score,proximity_rank
25592,41765,portland,TN,dnd2p7,dnd2p7j,dnd2p72,36.5802,-86.5104,36.5816667,-86.5163889,1986-05-24,2008-10-27,8192,1986,2008,559.0,3.84,204.0
5260,15772,crescent city,CA,9prtt9,9prtt9r,9prtt9r,41.75611,-124.2006,41.7561111,-124.2005556,1975-09-01,2001-01-01,9254,1975,2001,4.0,3.79,205.0
5260,15952,crescent city,CA,9prtt9,9prtt9r,9prtt9r,41.75611,-124.2006,41.7561111,-124.2005556,1975-09-01,2001-01-26,9279,1975,2001,4.0,3.78,206.0
12587,66628,venice,FL,dhv65t,dhv65tn,dhv65tq,27.099,-82.454,27.0994444,-82.4544444,1988-08-01,2013-10-23,9214,1988,2013,66.0,3.76,207.0
12587,67818,venice,FL,dhv65t,dhv65tn,dhv65tq,27.099,-82.454,27.0994444,-82.4544444,1988-08-01,2013-12-19,9271,1988,2013,66.0,3.74,208.0
12587,67752,venice,FL,dhv65t,dhv65tn,dhv65tq,27.099,-82.454,27.0994444,-82.4544444,1988-08-01,2013-12-15,9267,1988,2013,66.0,3.74,208.0
12587,68257,venice,FL,dhv65t,dhv65tn,dhv65tq,27.099,-82.454,27.0994444,-82.4544444,1988-08-01,2014-01-02,9285,1988,2014,66.0,3.73,209.0
7815,2969,russellville,AR,9ymb8w,9ymb8wn,9ymb8wn,35.27833,-93.13361,35.2783333,-93.1336111,2003-08-12,1977-06-30,9539,2003,1977,0.0,3.69,210.0
25592,47901,portland,TN,dnd2p7,dnd2p7j,dnd2p72,36.5802,-86.5104,36.5816667,-86.5163889,1986-05-24,2010-07-04,8807,1986,2010,559.0,3.58,211.0
5260,23194,crescent city,CA,9prtt9,9prtt9r,9prtt9r,41.75611,-124.2006,41.7561111,-124.2005556,1975-09-01,2003-09-21,10247,1975,2003,4.0,3.44,212.0
25592,52102,portland,TN,dnd2p7,dnd2p7j,dnd2p72,36.5802,-86.5104,36.5816667,-86.5163889,1986-05-24,2011-07-04,9172,1986,2011,559.0,3.44,212.0
25592,52097,portland,TN,dnd2p7,dnd2p7j,dnd2p72,36.5802,-86.5104,36.5816667,-86.5163889,1986-05-24,2011-07-04,9172,1986,2011,559.0,3.44,212.0
3585,1930,monroe,WA,c2920x,c2920xb,c2920xb,47.85556,-121.9697,47.8555556,-121.9697222,2001-08-01,1972-10-01,10531,2001,1972,2.0,3.35,213.0
5260,25865,crescent city,CA,9prtt9,9prtt9r,9prtt9r,41.75611,-124.2006,41.7561111,-124.2005556,1975-09-01,2004-06-21,10521,1975,2004,4.0,3.35,213.0
25592,64126,portland,TN,dnd2p7,dnd2p7j,dnd2p72,36.5802,-86.5104,36.5816667,-86.5163889,1986-05-24,2013-07-04,9903,1986,2013,559.0,3.2,214.0
