uap_id,datetime,city,state_code,state,country,shape,duration (seconds),duration (hours/min),comments,date posted,latitude,longitude,rounded_dt,date_str,hour_str,weather_cloud,weather_temp_f,weather_condition,condition_groups
66350,2013-10-10 19:00:00,rittman,OH,oh,us,light,60.0,1 minute,Fast moving white light.,10/14/2013,40.9780556,-81.7822222,2013-10-10 19:00:00,2013-10-10,19,4.0,57.8,Clear,Clear
,2013-10-10 19:15:00,harvey station (canada),,nb,ca,light,120.0,2 minutes,Slow moving bright orange light.,10/23/2013,45.716667,-67.0,2013-10-10 19:00:00,2013-10-10,19,49.0,51.9,Partly cloudy,Cloudy
66352,2013-10-10 19:20:00,essex junction,VT,vt,us,light,120.0,2 minutes,Noiseless&#44 low flying&#44 white&#44 bright constant light.,10/14/2013,44.4905556,-73.1113889,2013-10-10 19:00:00,2013-10-10,19,47.0,53.9,Partly cloudy,Cloudy
66351,2013-10-10 19:20:00,kenner,LA,la,us,circle,600.0,10 minutes,2 circle lights moving erratically over Kenner&#44 La.,10/14/2013,29.9938889,-90.2416667,2013-10-10 19:00:00,2013-10-10,19,40.0,75.3,Partly cloudy,Cloudy
66353,2013-10-10 20:00:00,drexel,OH,oh,us,circle,300.0,5 minutes,Yellow/orange&#44 sphere/circle that flew across night sky &#44slow speeds then simply vanished &#44 had no blinking lights&#44 was not an airplane,10/14/2013,39.7463889,-84.2866667,2013-10-10 20:00:00,2013-10-10,20,6.0,54.6,Clear,Clear
66354,2013-10-10 20:00:00,hudson,NH,nh,us,light,5.0,5 seconds,White&#44 orb above the clouds moving very fast&#44 no flashing lights&#44 zoomed across the sky and disappeared out of sight.,10/14/2013,42.7647222,-71.4402778,2013-10-10 20:00:00,2013-10-10,20,39.0,49.7,Partly cloudy,Cloudy
66356,2013-10-10 20:30:00,grand blanc,MI,mi,us,light,1200.0,20 minutes,3 bright lights holding a vertical position over central Michigan&#44 USA.,10/14/2013,42.9275000,-83.63,2013-10-10 20:00:00,2013-10-10,20,0.0,54.8,Clear,Clear
66355,2013-10-10 20:30:00,savage,MN,mn,us,circle,60.0,1 minute,I saw a sphere shaped object flying east to west moving faster than any conventional aircraft was white to orange in color as it reache,10/14/2013,44.7791667,-93.3361111,2013-10-10 20:00:00,2013-10-10,20,36.0,61.3,Partly cloudy,Cloudy
66357,2013-10-10 20:32:00,warren,MI,mi,us,sphere,45.0,45 seconds,Three glowing reddish-orange spheres changing to white lights,10/14/2013,42.4775000,-83.0277778,2013-10-10 21:00:00,2013-10-10,21,0.0,55.8,Clear,Clear
66358,2013-10-10 20:35:00,canton,MI,mi,us,triangle,180.0,3 minutes,Black triangle aircraft with white lights on each point&#44 completely silent&#44 seen flying low SW to NE.,10/14/2013,42.3086111,-83.4822222,2013-10-10 21:00:00,2013-10-10,21,0.0,55.2,Clear,Clear
