bf_id,uap_id,city,state_code,geohash_6,geohash_7_bf,geohash_7_uap,latitude_bf,longitude_bf,latitude_uap,longitude_uap,full_date_bf,full_date_uap,date_diff_days,year_bf,year_uap,distance_meters,proximity_score,proximity_rank
10653,28108,puyallup,WA,c23h3j,c23h3jv,c23h3jv,47.18556,-122.2917,47.1855556,-122.2916667,1974-06-27,2005-02-02,11178,1974,2005,3.0,3.16,578.0
5260,32636,crescent city,CA,9prtt9,9prtt9r,9prtt9r,41.75611,-124.2006,41.7561111,-124.2005556,1975-09-01,2006-06-28,11258,1975,2006,4.0,3.14,579.0
2779,54418,san diego,CA,9mudn5,9mudn59,9mudn59,32.71528,-117.1564,32.7152778,-117.1563889,1981-02-15,2011-11-24,11239,1981,2011,1.0,3.14,579.0
2779,54755,san diego,CA,9mudn5,9mudn59,9mudn59,32.71528,-117.1564,32.7152778,-117.1563889,1981-02-15,2011-12-23,11268,1981,2011,1.0,3.14,579.0
2779,54730,san diego,CA,9mudn5,9mudn59,9mudn59,32.71528,-117.1564,32.7152778,-117.1563889,1981-02-15,2011-12-20,11265,1981,2011,1.0,3.14,579.0
39858,18527,granite falls,WA,c29389,c293893,c293893,48.0835,-121.9683,48.0841667,-121.9675,1971-10-15,2002-01-10,11045,1971,2002,95.0,3.14,579.0
2779,55248,san diego (on mexican border),CA,9mudn5,9mudn59,9mudn59,32.71528,-117.1564,32.7152778,-117.1563889,1981-02-15,2012-01-17,11293,1981,2012,1.0,3.13,580.0
2779,55202,san diego,CA,9mudn5,9mudn59,9mudn59,32.71528,-117.1564,32.7152778,-117.1563889,1981-02-15,2012-01-13,11289,1981,2012,1.0,3.13,580.0
10653,28987,puyallup,WA,c23h3j,c23h3jv,c23h3jv,47.18556,-122.2917,47.1855556,-122.2916667,1974-06-27,2005-05-24,11289,1974,2005,3.0,3.13,580.0
39858,19027,granite falls,WA,c29389,c293893,c293893,48.0835,-121.9683,48.0841667,-121.9675,1971-10-15,2002-04-07,11132,1971,2002,95.0,3.12,581.0
2779,55690,san diego,CA,9mudn5,9mudn59,9mudn59,32.71528,-117.1564,32.7152778,-117.1563889,1981-02-15,2012-02-22,11329,1981,2012,1.0,3.12,581.0
