datetime,city,state,country,shape,duration_secs,comments,date posted,latitude,longitude,datetime_formatted,full_date,year,month,season,solar_kp_index,solar_ap_index,state_code,shape_group
2005-03-21 19:20:00,charlotte,nc,us,light,45,Bright  star size pulsing object moves accross sky in westerly direction,4/16/2005,35.2269444,-80.8433333,2005-03-21 19:20,2005-03-21,2005,3,spring,0.333,2,NC,light
2005-03-21 19:30:00,kokomo (west side of),in,us,fireball,60,From my back yard (taking the dog out) this evening is the 3rd time I have seen these &quot;lights&quot;.  I&#39ve never seen anything like it....ev,4/16/2005,40.4863889,-86.1336111,2005-03-21 19:30,2005-03-21,2005,3,spring,0.333,2,IN,light
2005-03-21 20:00:00,anoka,mn,us,triangle,10,faint orange lights in shape of a triangle&#44 moving very low&#44 very fast.,4/16/2005,45.1977778,-93.3869444,2005-03-21 20:00,2005-03-21,2005,3,spring,0.333,2,MN,triangle
2005-03-21 20:00:00,lafayette,in,us,circle,7200,Strange Orange light patterns in sky,4/16/2005,40.4166667,-86.8752778,2005-03-21 20:00,2005-03-21,2005,3,spring,0.333,2,IN,round
2005-03-21 20:20:00,chillicothe,oh,us,light,1800,Lights in the east sky with very strange flight patterns,4/16/2005,39.3330556,-82.9825,2005-03-21 20:20,2005-03-21,2005,3,spring,0.333,2,OH,light
2005-03-21 20:30:00,sheridan,in,us,chevron,30,A moving array of white lights illuminating sequentially.,4/16/2005,40.135,-86.2205556,2005-03-21 20:30,2005-03-21,2005,3,spring,0.333,2,IN,triangle
2005-03-21 20:40:00,zionsville,in,us,fireball,120,Lights that looked like big balls of fire seen over Zionsville.,6/20/2005,39.9508333,-86.2619444,2005-03-21 20:40,2005-03-21,2005,3,spring,0.333,2,IN,light
2005-03-21 21:00:00,kokomo,in,us,fireball,2700,Odd Orangeish lights.,5/11/2005,40.4863889,-86.1336111,2005-03-21 21:00,2005-03-21,2005,3,spring,0.333,2,IN,light
2005-03-21 21:00:00,logansport,in,us,sphere,600,Orange Lights in the Sky,5/11/2005,40.7544444,-86.3566667,2005-03-21 21:00,2005-03-21,2005,3,spring,0.333,2,IN,round
2005-03-21 21:04:00,santa monica,ca,us,diamond,180,It appeared with three white lights then we saw colored lights and then it went into the clouds and came back out then dissapeared,5/11/2005,34.0194444,-118.4902778,2005-03-21 21:04,2005-03-21,2005,3,spring,0.333,2,CA,triangle
2006-03-21 07:00:00,mesa,az,us,circle,7200,2 objects over Mesa&#44 10-15 thousand ft.&#44 broad daylight,5/15/2006,33.4222222,-111.8219444,2006-03-21 07:00,2006-03-21,2006,3,spring,3.333,18,AZ,round
2006-03-21 21:00:00,kokomo,in,us,fireball,30,falling star seen over mid west indiana.,5/15/2006,40.4863889,-86.1336111,2006-03-21 21:00,2006-03-21,2006,3,spring,3.333,18,IN,light
2006-03-21 21:00:00,kokomo,in,us,light,7,very bright&#44 intense amber lights 3-4 items high altitude west of kokomo,5/15/2006,40.4863889,-86.1336111,2006-03-21 21:00,2006-03-21,2006,3,spring,3.333,18,IN,light
2006-03-21 21:05:00,kokomo,in,us,disk,10,Large object of amber lights hovering very low.,5/15/2006,40.4863889,-86.1336111,2006-03-21 21:05,2006-03-21,2006,3,spring,3.333,18,IN,round
2006-03-21 22:30:00,sonora,ca,us,light,1,TUESDAY 21ST MARCH 2006 - 22.30  LOCATION - SONORA&#44 Stockton St  DESCRIPTION  Me and my friend had just taken the dogs out for a late w,5/15/2006,37.9841667,-120.3811111,2006-03-21 22:30,2006-03-21,2006,3,spring,3.333,18,CA,light
2006-03-21 23:00:00,port angeles,wa,us,triangle,0,This is totally insane...,5/15/2006,48.1183333,-123.4294444,2006-03-21 23:00,2006-03-21,2006,3,spring,3.333,18,WA,triangle
2006-03-22 00:00:00,white mountain,ak,us,sphere,1,Three orbs were bounced towards our little village the first one was at 2:15 am and it was white lite in color about 2 inches in diamet,5/15/2006,64.6813889,-163.4055556,2006-03-22 00:00,2006-03-22,2006,3,spring,2.0,7,AK,round
2007-03-21 00:00:00,celina,tn,us,unknown,3,Man that bright light was messed up.,4/27/2007,36.55,-85.5052778,2007-03-21 00:00,2007-03-21,2007,3,spring,1.0,4,TN,other
2007-03-21 06:05:00,pigeon forge,tn,us,light,3600,Light moving in strange patterned flight over Pigeon Forge&#44 Tennessee,4/27/2007,35.7883333,-83.5544444,2007-03-21 06:05,2007-03-21,2007,3,spring,1.0,4,TN,light
